gene	p	CHR	POS
ENSSSAG00000033944	4.50E-05	ssa05	50518357
ENSSSAG00000117344	0.0317632	ssa05	50740827
ENSSSAG00000066863	0.0205751	ssa05	50826470
ENSSSAG00000060987	0.0355867	ssa05	50829234
ENSSSAG00000040386	1.96E-08	ssa05	50976502
ENSSSAG00000042957	0.000517932	ssa05	50976502
ENSSSAG00000042174	0.0434917	ssa05	50976502
ENSSSAG00000088862	2.85E-70	ssa05	51249614
ENSSSAG00000099197	0.0104631	ssa05	51417426
ENSSSAG00000041915	0.00700492	ssa05	51450723
ENSSSAG00000010104	0.0330942	ssa05	51495612
ENSSSAG00000040491	0.00611124	ssa05	51563991
ENSSSAG00000010054	2.53E-05	ssa05	51789255
ENSSSAG00000035735	6.27E-13	ssa05	52207532
ENSSSAG00000039109	7.17E-08	ssa05	52210728
ENSSSAG00000040417	0.0120475	ssa05	52494185
ENSSSAG00000106047	0.0181661	ssa05	53671366
ENSSSAG00000084598	0.000182682	ssa05	53681920
ENSSSAG00000111538	0.0135257	ssa05	54068494
ENSSSAG00000041598	0.000376985	ssa05	54091246
ENSSSAG00000003778	0.00164148	ssa05	54092295
ENSSSAG00000081954	5.46E-07	ssa05	55591546
ENSSSAG00000043281	0.0332173	ssa05	55745388
ENSSSAG00000053271	0.00401707	ssa05	56239540
ENSSSAG00000053447	1.04E-41	ssa05	56317582
ENSSSAG00000090099	4.38E-14	ssa05	56569869
ENSSSAG00000053824	3.59E-10	ssa05	56679056
ENSSSAG00000053852	0.000949733	ssa05	56719282
ENSSSAG00000059733	0.0222702	ssa05	56772047
ENSSSAG00000005215	8.07E-05	ssa05	56813975
ENSSSAG00000065328	0.0334455	ssa05	56946812
ENSSSAG00000053803	7.43E-29	ssa05	56977472
ENSSSAG00000053159	0.00285842	ssa05	56978459
ENSSSAG00000052132	0.00426892	ssa05	56999292
ENSSSAG00000053776	5.90E-24	ssa05	57078475
ENSSSAG00000053209	2.76E-07	ssa05	57526657
ENSSSAG00000037592	0.0453547	ssa05	57784576
ENSSSAG00000054037	1.78E-06	ssa05	58230026
ENSSSAG00000056021	0.0256138	ssa05	58230026
ENSSSAG00000118596	0.00727699	ssa05	58607768
ENSSSAG00000008349	0.026552	ssa05	58625639
ENSSSAG00000010511	1.03E-72	ssa05	58904424
ENSSSAG00000119551	2.06E-35	ssa05	58904424
ENSSSAG00000089912	3.51E-10	ssa05	58916147
ENSSSAG00000092151	2.29E-10	ssa05	59004445
ENSSSAG00000110312	0.0224809	ssa05	59143168
ENSSSAG00000121454	0.0456445	ssa05	59231324
ENSSSAG00000085411	3.95E-08	ssa05	59566754
ENSSSAG00000010615	2.79E-05	ssa05	59619746
ENSSSAG00000008196	9.53E-26	ssa05	59629103
ENSSSAG00000006730	8.69E-27	ssa05	59710290
ENSSSAG00000060046	0.000379993	ssa05	59758380
ENSSSAG00000042516	0.0292031	ssa05	60585512
ENSSSAG00000007551	8.99E-08	ssa05	60794078
ENSSSAG00000057240	0.00216942	ssa05	60799444
ENSSSAG00000104583	0.011505	ssa05	60908136
ENSSSAG00000007499	0.00410008	ssa05	60936324
ENSSSAG00000117013	2.45E-14	ssa05	60994819
ENSSSAG00000066086	3.44E-05	ssa05	60994819
ENSSSAG00000002023	2.14E-12	ssa05	61003462
ENSSSAG00000056625	0.00817891	ssa05	61014049
ENSSSAG00000017278	0.000201751	ssa05	61045583
ENSSSAG00000072291	0.000921691	ssa05	61058746
ENSSSAG00000038591	0.0281155	ssa05	61122017
ENSSSAG00000053247	0.0389276	ssa05	61157229
ENSSSAG00000057528	7.24E-05	ssa05	61270013
ENSSSAG00000113069	4.34E-05	ssa05	61423556
ENSSSAG00000065689	0.00100277	ssa05	61663004
ENSSSAG00000059777	0.00112362	ssa05	61663004
ENSSSAG00000071715	0.0188269	ssa05	61692970
ENSSSAG00000048531	0.0241543	ssa05	62305819
ENSSSAG00000057984	0.000249127	ssa05	62306087
ENSSSAG00000075059	0.00827465	ssa05	62791780
ENSSSAG00000065207	0.0361495	ssa05	62794374
ENSSSAG00000003653	3.53E-10	ssa05	62833004
ENSSSAG00000065675	4.87E-07	ssa05	63045715
ENSSSAG00000008007	1.26E-07	ssa05	63101735
ENSSSAG00000106450	0.00633674	ssa05	64142470
ENSSSAG00000082269	0.000273884	ssa05	64300196
ENSSSAG00000051437	0.0246261	ssa05	64383548
ENSSSAG00000113530	0.000144864	ssa05	64396182
ENSSSAG00000010523	0.0148042	ssa05	64414988
ENSSSAG00000051860	0.000465016	ssa05	64491613
ENSSSAG00000051430	0.0198481	ssa05	64547262
ENSSSAG00000043038	1.74E-05	ssa05	64660693
ENSSSAG00000010260	1.73E-05	ssa05	64831050
ENSSSAG00000069286	0.0204368	ssa05	64917104
ENSSSAG00000075069	0.0410321	ssa05	64942469
ENSSSAG00000095350	1.12E-73	ssa05	64999522
ENSSSAG00000053537	2.10E-18	ssa05	65020663
ENSSSAG00000112549	0.000219964	ssa05	65196233
ENSSSAG00000064918	3.12E-18	ssa05	65200216
ENSSSAG00000051913	0.0137006	ssa05	65356478
ENSSSAG00000003049	6.24E-29	ssa05	65373779
ENSSSAG00000058739	0.000192871	ssa05	66546217
ENSSSAG00000003871	1.82E-12	ssa05	67379201
ENSSSAG00000096027	0.0148774	ssa05	67383165
ENSSSAG00000117537	1.21E-19	ssa05	67562842
ENSSSAG00000056501	0.00797893	ssa05	67720769
ENSSSAG00000053779	0.000676362	ssa05	67733299
ENSSSAG00000037034	1.28E-11	ssa05	67778072
ENSSSAG00000053928	1.19E-06	ssa05	67870783
ENSSSAG00000053878	0.00271841	ssa05	67887913
ENSSSAG00000053725	0.0133559	ssa05	67936127
ENSSSAG00000068034	0.000289938	ssa05	68026100
ENSSSAG00000121298	0.037681	ssa05	68026100
ENSSSAG00000057028	0.0477923	ssa05	68026100
ENSSSAG00000057232	0.0363734	ssa05	68067127
ENSSSAG00000119323	5.07E-11	ssa05	68484672
ENSSSAG00000053771	0.0144752	ssa05	68526368
ENSSSAG00000002158	5.62E-19	ssa05	68713274
ENSSSAG00000062647	2.57E-06	ssa05	68713274
ENSSSAG00000013879	0.0103756	ssa05	69028654
ENSSSAG00000004924	0.0346598	ssa05	69028654
ENSSSAG00000045043	5.63E-14	ssa05	69426626
ENSSSAG00000102439	5.82E-19	ssa05	69482422
ENSSSAG00000071957	0.0284319	ssa05	69482422
ENSSSAG00000003152	4.53E-10	ssa05	69696818
ENSSSAG00000059305	0.0335916	ssa05	69716822
ENSSSAG00000056926	0.0286063	ssa05	70195297
ENSSSAG00000059839	1.25E-07	ssa05	70392993
ENSSSAG00000114243	0.0324675	ssa05	70393276
ENSSSAG00000003317	2.33E-06	ssa05	71159274
ENSSSAG00000092128	0.000105558	ssa05	71159274
ENSSSAG00000107469	0.00112624	ssa05	71674619
ENSSSAG00000042521	1.87E-12	ssa05	72131705
ENSSSAG00000004066	0.000888361	ssa05	72170159
ENSSSAG00000110175	2.58E-32	ssa05	72374436
ENSSSAG00000117865	3.00E-07	ssa05	72934392
ENSSSAG00000002177	0.000501261	ssa05	73016146
ENSSSAG00000114037	0.0133078	ssa05	73483790
ENSSSAG00000047779	1.46E-16	ssa05	73484105
ENSSSAG00000003830	5.17E-30	ssa05	73593479
ENSSSAG00000088482	1.12E-16	ssa05	73593479
ENSSSAG00000042009	2.80E-12	ssa05	73593479
ENSSSAG00000085781	0.000131543	ssa05	73730406
ENSSSAG00000007199	0.0239536	ssa05	73736189
ENSSSAG00000121850	1.19E-08	ssa05	74478175
ENSSSAG00000046277	1.23E-12	ssa05	74717901
ENSSSAG00000008020	0.00195332	ssa05	75030988
ENSSSAG00000005128	0.00160494	ssa05	75268142
ENSSSAG00000004907	0.0155128	ssa05	75268142
ENSSSAG00000120341	0.00253325	ssa05	75774820
ENSSSAG00000117736	0.00588388	ssa05	75774820
ENSSSAG00000002140	0.00171964	ssa05	76089988
ENSSSAG00000009757	0.0147347	ssa05	76089988
ENSSSAG00000040011	1.96E-16	ssa05	76090677
ENSSSAG00000004884	0.00488317	ssa05	76221942
ENSSSAG00000121291	0.0486428	ssa05	76221942
ENSSSAG00000003430	0.000627235	ssa05	76222121
ENSSSAG00000042805	0.0234792	ssa05	76224750
ENSSSAG00000084036	2.70E-07	ssa05	76239092
ENSSSAG00000082236	0.000446489	ssa05	76239092
ENSSSAG00000110562	0.00325056	ssa05	76327792
ENSSSAG00000089982	0.00537417	ssa05	76476562
ENSSSAG00000074455	2.81E-08	ssa05	76816380
ENSSSAG00000048960	4.76E-09	ssa05	76828667
ENSSSAG00000106910	0.00112591	ssa05	77305540
ENSSSAG00000056987	0.0105844	ssa05	77305540
ENSSSAG00000050348	2.95E-30	ssa05	77411593
ENSSSAG00000082318	1.38E-10	ssa05	77411593
ENSSSAG00000082499	0.000679086	ssa05	77411593
ENSSSAG00000086818	0.000925145	ssa05	77415452
ENSSSAG00000055063	0.00236031	ssa05	77432448
ENSSSAG00000089465	2.30E-20	ssa05	77434679
ENSSSAG00000092624	6.75E-11	ssa05	77434679
ENSSSAG00000003775	2.60E-34	ssa05	77527687
ENSSSAG00000108867	1.75E-22	ssa05	77527687
ENSSSAG00000101331	7.95E-09	ssa05	77527687
ENSSSAG00000091860	1.50E-07	ssa05	77527687
ENSSSAG00000092174	4.18E-07	ssa05	77527687
ENSSSAG00000086883	7.78E-06	ssa05	77527687
ENSSSAG00000087652	0.00221886	ssa05	77527687
ENSSSAG00000090915	1.42E-10	ssa05	77831331
ENSSSAG00000108497	3.37E-09	ssa05	77831331
ENSSSAG00000121831	1.71E-06	ssa05	77831331
ENSSSAG00000039648	0.000333891	ssa05	77831331
ENSSSAG00000092462	0.00276793	ssa05	77831331
ENSSSAG00000040831	0.00413472	ssa05	77831331
ENSSSAG00000115967	0.00655192	ssa05	77831331
ENSSSAG00000086628	9.28E-13	ssa05	79022149
ENSSSAG00000058006	7.56E-10	ssa05	79024252
ENSSSAG00000085091	0.0350748	ssa05	79716219
ENSSSAG00000015828	0.0407611	ssa05	79716219
ENSSSAG00000105150	0.000160223	ssa05	79945996
ENSSSAG00000118106	0.0289615	ssa05	80051879
ENSSSAG00000117382	5.89E-08	ssa05	80082930
ENSSSAG00000112979	0.000627301	ssa05	80159131
ENSSSAG00000002901	0.00777696	ssa05	80169829
ENSSSAG00000062093	0.0205138	ssa05	80182416
ENSSSAG00000063693	0.00132965	ssa05	80382365
ENSSSAG00000059739	6.63E-09	ssa05	80384971
ENSSSAG00000003048	4.73E-05	ssa05	80384971
ENSSSAG00000091200	0.00130062	ssa05	80384971
ENSSSAG00000121915	0.000117702	ssa05	81305956
ENSSSAG00000112763	5.00E-05	ssa05	81314812
ENSSSAG00000053505	0.0023905	ssa05	81314812
ENSSSAG00000010286	0.00581053	ssa05	81314812
ENSSSAG00000097547	0.0261639	ssa05	81314812
ENSSSAG00000104918	0.0398234	ssa05	81314812
ENSSSAG00000087631	0.02245	ssa05	81458656
ENSSSAG00000116467	1.62E-31	ssa05	81467201
ENSSSAG00000085807	2.32E-20	ssa06	4239457
ENSSSAG00000044998	1.11E-16	ssa06	4239457
ENSSSAG00000003241	0.000100186	ssa06	4239457
ENSSSAG00000002735	0.0234288	ssa06	4239457
ENSSSAG00000087702	0.0393898	ssa06	4239457
ENSSSAG00000115970	3.59E-05	ssa06	4543142
ENSSSAG00000096923	0.000672758	ssa06	4543142
ENSSSAG00000092652	0.0268102	ssa06	4543189
ENSSSAG00000003908	0.0381737	ssa06	4543189
ENSSSAG00000004506	0.00234604	ssa06	5724281
ENSSSAG00000107124	1.16E-07	ssa06	5838331
ENSSSAG00000090739	7.52E-06	ssa06	5855146
ENSSSAG00000116335	0.0171036	ssa06	5855146
ENSSSAG00000083288	1.70E-08	ssa06	5869728
ENSSSAG00000093028	0.00812364	ssa06	5869728
ENSSSAG00000060557	0.0177863	ssa06	5869728
ENSSSAG00000082924	1.56E-16	ssa06	6505093
ENSSSAG00000114112	4.16E-05	ssa06	6505093
ENSSSAG00000093395	0.00216978	ssa06	6505093
ENSSSAG00000103416	0.0255811	ssa06	6505093
ENSSSAG00000003608	0.000812027	ssa06	6512399
ENSSSAG00000105864	2.40E-12	ssa06	7781110
ENSSSAG00000104264	3.91E-12	ssa06	7812305
ENSSSAG00000092928	0.00314045	ssa06	8228892
ENSSSAG00000059448	0.00759541	ssa06	9125592
ENSSSAG00000082565	8.84E-09	ssa06	9391506
ENSSSAG00000100542	7.21E-05	ssa06	9742592
ENSSSAG00000044809	9.33E-67	ssa06	10653321
ENSSSAG00000117118	0.0434812	ssa06	10655471
ENSSSAG00000039167	8.49E-05	ssa06	12153592
ENSSSAG00000121023	1.75E-17	ssa06	12399501
ENSSSAG00000002887	0.0261118	ssa06	12410094
ENSSSAG00000108673	8.47E-09	ssa06	12436266
ENSSSAG00000002907	1.79E-10	ssa06	12924981
ENSSSAG00000002932	3.68E-11	ssa06	12942078
ENSSSAG00000038781	2.42E-21	ssa06	12945160
ENSSSAG00000094086	4.05E-07	ssa06	12945160
ENSSSAG00000002791	5.66E-07	ssa06	12945160
ENSSSAG00000084658	2.00E-16	ssa06	13150032
ENSSSAG00000042972	2.67E-34	ssa06	13154429
ENSSSAG00000047562	0.00188009	ssa06	13823429
ENSSSAG00000047510	5.26E-26	ssa06	15061594
ENSSSAG00000112273	0.00050699	ssa06	15128080
ENSSSAG00000039100	9.29E-30	ssa06	15157944
ENSSSAG00000116204	2.90E-26	ssa06	15157944
ENSSSAG00000095136	5.58E-15	ssa06	15525361
ENSSSAG00000038959	2.22E-10	ssa06	16686297
ENSSSAG00000109792	0.000281573	ssa06	16686297
ENSSSAG00000084736	0.00206968	ssa06	16709264
ENSSSAG00000122242	0.0094678	ssa06	16843729
ENSSSAG00000104042	9.85E-10	ssa06	17412867
ENSSSAG00000082514	1.38E-11	ssa06	17686119
ENSSSAG00000041942	0.000486765	ssa06	17686119
ENSSSAG00000073493	0.00988821	ssa06	17828444
ENSSSAG00000111585	0.00344056	ssa06	17933157
ENSSSAG00000002216	0.0129791	ssa06	18753161
ENSSSAG00000001763	0.0478773	ssa06	18753161
ENSSSAG00000003636	3.70E-24	ssa06	19773875
ENSSSAG00000039646	3.71E-11	ssa06	20613652
ENSSSAG00000096029	4.20E-09	ssa06	20871891
ENSSSAG00000096671	0.0390741	ssa06	21275364
ENSSSAG00000114795	0.00108452	ssa06	22171919
ENSSSAG00000120741	0.0351983	ssa06	22371418
ENSSSAG00000107480	0.0167818	ssa06	22371626
ENSSSAG00000045747	0.00559146	ssa06	23193133
ENSSSAG00000118525	0.0156923	ssa06	23198661
ENSSSAG00000040524	2.67E-14	ssa06	23205652
ENSSSAG00000105643	3.38E-09	ssa06	23216536
ENSSSAG00000042984	0.00198677	ssa06	23370590
ENSSSAG00000092379	0.0135214	ssa06	23695030
ENSSSAG00000089800	6.49E-05	ssa06	23896001
ENSSSAG00000004075	0.00832611	ssa06	24073567
ENSSSAG00000049965	0.0164111	ssa06	24073567
ENSSSAG00000043067	1.61E-07	ssa06	24219600
ENSSSAG00000121105	0.000802058	ssa06	24219600
ENSSSAG00000045270	3.99E-07	ssa06	24489005
ENSSSAG00000040476	4.09E-13	ssa06	24663974
ENSSSAG00000102538	1.05E-13	ssa06	25223107
ENSSSAG00000086003	0.00217733	ssa06	25227140
ENSSSAG00000107883	0.0131688	ssa06	25353790
ENSSSAG00000045707	0.0489925	ssa06	25369756
ENSSSAG00000087296	8.52E-36	ssa06	25524555
ENSSSAG00000110592	0.000119699	ssa06	25542302
ENSSSAG00000113145	9.13E-11	ssa06	25921682
ENSSSAG00000046136	0.0101991	ssa06	27439612
ENSSSAG00000042302	0.0412169	ssa06	27439867
ENSSSAG00000002726	1.36E-08	ssa06	28708691
ENSSSAG00000115064	1.48E-07	ssa06	28708691
ENSSSAG00000120961	4.95E-07	ssa06	28708691
ENSSSAG00000085482	0.000183773	ssa06	28907666
ENSSSAG00000043637	0.00265121	ssa06	29104779
ENSSSAG00000046824	1.96E-05	ssa06	29527838
ENSSSAG00000000911	0.0120274	ssa06	29618371
ENSSSAG00000045577	0.0303579	ssa06	29824254
ENSSSAG00000002733	1.93E-13	ssa06	29828594
ENSSSAG00000044642	3.73E-07	ssa06	29828594
ENSSSAG00000058949	0.00400122	ssa06	29938002
ENSSSAG00000040310	1.35E-13	ssa06	30931273
ENSSSAG00000090101	1.01E-13	ssa06	31986038
ENSSSAG00000109013	4.35E-13	ssa06	32022148
ENSSSAG00000114144	0.000118406	ssa06	32022148
ENSSSAG00000047039	9.81E-06	ssa06	32230024
ENSSSAG00000060007	1.34E-05	ssa06	32310213
ENSSSAG00000002292	0.0153053	ssa06	32310213
ENSSSAG00000002351	0.0155345	ssa06	32367248
ENSSSAG00000006498	0.00305378	ssa06	32516175
ENSSSAG00000001495	0.0381794	ssa06	32661252
ENSSSAG00000051686	1.37E-05	ssa06	32885773
ENSSSAG00000005952	0.00109029	ssa06	32998724
ENSSSAG00000059150	1.15E-12	ssa06	33228702
ENSSSAG00000070444	0.0475399	ssa06	33234554
ENSSSAG00000005393	9.69E-06	ssa06	33463371
ENSSSAG00000047954	0.000434012	ssa06	33527789
ENSSSAG00000087643	0.0014176	ssa06	33527789
ENSSSAG00000002723	0.0476142	ssa06	33908377
ENSSSAG00000084225	0.00271635	ssa06	34001350
ENSSSAG00000067851	0.00113514	ssa06	34052503
ENSSSAG00000008557	5.39E-06	ssa06	34270229
ENSSSAG00000067413	1.08E-14	ssa06	35209435
ENSSSAG00000110228	1.40E-25	ssa06	35247924
ENSSSAG00000068190	1.00E-63	ssa06	35258869
ENSSSAG00000068437	0.0264212	ssa06	35312146
ENSSSAG00000117973	7.64E-24	ssa06	35322013
ENSSSAG00000069349	0.00147181	ssa06	35407118
ENSSSAG00000067839	3.91E-07	ssa06	35595028
ENSSSAG00000056156	0.0479857	ssa06	36027304
ENSSSAG00000060615	1.28E-18	ssa06	36060857
ENSSSAG00000084420	0.0434281	ssa06	36100359
ENSSSAG00000067198	0.0395429	ssa06	36733626
ENSSSAG00000044172	0.0113273	ssa06	36761269
ENSSSAG00000039601	0.0117855	ssa06	37024135
ENSSSAG00000042762	3.49E-06	ssa06	37102241
ENSSSAG00000085086	6.09E-62	ssa06	37130556
ENSSSAG00000092858	1.00E-39	ssa06	37130556
ENSSSAG00000062585	0.000455037	ssa06	37211450
ENSSSAG00000061213	4.30E-06	ssa06	37431697
ENSSSAG00000059637	0.0014284	ssa06	37445236
ENSSSAG00000039972	0.0026172	ssa06	37484959
ENSSSAG00000045655	0.0303233	ssa06	37766721
ENSSSAG00000068227	0.00907872	ssa06	38481891
ENSSSAG00000044677	0.000219711	ssa06	39051460
ENSSSAG00000104474	4.50E-28	ssa06	39054790
ENSSSAG00000056181	0.000372599	ssa06	39105151
ENSSSAG00000096111	0.0230555	ssa06	39105151
ENSSSAG00000110616	2.76E-05	ssa06	39890626
ENSSSAG00000064407	0.0203462	ssa06	40646118
ENSSSAG00000017138	6.29E-15	ssa06	40820991
ENSSSAG00000042897	0.0435799	ssa06	40980854
ENSSSAG00000007550	4.35E-05	ssa06	41064365
ENSSSAG00000066977	0.0488553	ssa06	41263260
ENSSSAG00000090249	0.0133325	ssa06	41802827
ENSSSAG00000067941	0.0148679	ssa06	41862863
ENSSSAG00000086616	0.00115735	ssa06	42118328
ENSSSAG00000098198	0.00521422	ssa06	42394900
ENSSSAG00000041201	0.0156016	ssa06	42579949
ENSSSAG00000009674	0.012588	ssa06	43103930
ENSSSAG00000009881	0.017174	ssa06	43110147
ENSSSAG00000085912	1.11E-19	ssa06	43281559
ENSSSAG00000083226	3.71E-06	ssa06	43294825
ENSSSAG00000002926	0.000307014	ssa06	43458713
ENSSSAG00000120490	0.0368376	ssa06	43458713
ENSSSAG00000007891	3.22E-09	ssa06	43603634
ENSSSAG00000010060	0.0174088	ssa06	43693063
ENSSSAG00000005355	3.16E-18	ssa06	43994367
ENSSSAG00000006800	0.0400565	ssa06	44088467
ENSSSAG00000097940	0.00467982	ssa06	44089965
ENSSSAG00000096081	0.000224889	ssa06	44241041
ENSSSAG00000008146	0.0498026	ssa06	44499503
ENSSSAG00000067139	1.14E-06	ssa06	44764104
ENSSSAG00000116807	5.28E-79	ssa06	45349476
ENSSSAG00000096702	1.75E-12	ssa06	45374845
ENSSSAG00000085719	0.0318705	ssa06	45750826
ENSSSAG00000008003	9.78E-05	ssa06	45821856
ENSSSAG00000003140	0.0136095	ssa06	46894035
ENSSSAG00000005933	0.00301205	ssa06	47095607
ENSSSAG00000002422	1.55E-11	ssa06	47194336
ENSSSAG00000003650	2.05E-13	ssa06	47210796
ENSSSAG00000002480	0.0447163	ssa06	47211186
ENSSSAG00000065004	1.92E-11	ssa06	47488770
ENSSSAG00000108594	9.47E-35	ssa06	47501831
ENSSSAG00000006340	0.000368551	ssa06	47629120
ENSSSAG00000003771	0.00171875	ssa06	48776869
ENSSSAG00000006686	0.0303421	ssa06	49135660
ENSSSAG00000060240	3.07E-06	ssa06	49234988
ENSSSAG00000102161	1.06E-06	ssa06	49480936
ENSSSAG00000002407	6.67E-05	ssa06	49480936
ENSSSAG00000022058	0.0344074	ssa06	54236415
ENSSSAG00000112692	0.000650981	ssa06	54458059
ENSSSAG00000046143	7.45E-08	ssa06	55666804
ENSSSAG00000075607	0.0407209	ssa06	55747681
ENSSSAG00000073096	0.0298489	ssa06	55787905
ENSSSAG00000064455	0.000441337	ssa06	55790637
ENSSSAG00000107130	0.000941632	ssa06	55975590
ENSSSAG00000008433	3.45E-19	ssa06	56234164
ENSSSAG00000067854	0.0038525	ssa06	56536816
ENSSSAG00000070218	4.51E-18	ssa06	56785209
ENSSSAG00000076414	0.000184185	ssa06	56898649
ENSSSAG00000007650	0.0171541	ssa06	57204575
ENSSSAG00000077285	2.83E-45	ssa06	57251436
ENSSSAG00000039558	0.000539842	ssa06	57588209
ENSSSAG00000078939	5.86E-12	ssa06	57592232
ENSSSAG00000094588	0.0223357	ssa06	57600744
ENSSSAG00000079189	0.00982498	ssa06	57623542
ENSSSAG00000079198	0.000462854	ssa06	57646908
ENSSSAG00000078771	6.94E-09	ssa06	57659404
ENSSSAG00000039729	8.11E-08	ssa06	57844084
ENSSSAG00000083858	0.0254839	ssa06	57852581
ENSSSAG00000079229	6.32E-09	ssa06	58304842
ENSSSAG00000054520	0.000105655	ssa06	59117610
ENSSSAG00000080583	0.00661521	ssa06	59117769
ENSSSAG00000054837	3.97E-06	ssa06	59118247
ENSSSAG00000080704	0.00498299	ssa06	59252205
ENSSSAG00000064333	3.43E-66	ssa06	59893219
ENSSSAG00000069943	0.0144082	ssa06	60008843
ENSSSAG00000079237	0.0397312	ssa06	60242269
ENSSSAG00000074593	0.000894972	ssa06	60253734
ENSSSAG00000078727	0.000208783	ssa06	60944422
ENSSSAG00000080506	0.000445381	ssa06	61366788
ENSSSAG00000069346	0.0406937	ssa06	61546585
ENSSSAG00000078748	0.00509989	ssa06	62442157
ENSSSAG00000080818	0.0159765	ssa06	62444425
ENSSSAG00000069432	1.51E-07	ssa06	63880315
ENSSSAG00000069553	1.61E-07	ssa06	63935082
ENSSSAG00000073906	0.0149108	ssa06	63949055
ENSSSAG00000076587	0.00248275	ssa06	64262621
ENSSSAG00000084177	1.55E-05	ssa06	64853635
ENSSSAG00000070527	0.000222195	ssa06	64991140
ENSSSAG00000121217	0.00764181	ssa06	65091054
ENSSSAG00000007868	0.002613	ssa06	65096401
ENSSSAG00000070624	0.0151983	ssa06	65110845
ENSSSAG00000090331	3.77E-06	ssa06	65135970
ENSSSAG00000070049	0.00785095	ssa06	65432843
ENSSSAG00000074060	2.34E-06	ssa06	65477172
ENSSSAG00000076834	3.32E-10	ssa06	65987407
ENSSSAG00000008200	1.09E-12	ssa06	66640406
ENSSSAG00000002343	0.00870734	ssa06	66990577
ENSSSAG00000076558	0.00114799	ssa06	67092629
ENSSSAG00000002998	1.28E-10	ssa06	67195148
ENSSSAG00000082068	0.0201265	ssa06	67236266
ENSSSAG00000097045	0.000500748	ssa06	67361721
ENSSSAG00000007433	0.000442961	ssa06	67738373
ENSSSAG00000094846	0.0091604	ssa06	67738373
ENSSSAG00000011252	3.26E-08	ssa06	67988327
ENSSSAG00000076699	5.72E-06	ssa06	69150749
ENSSSAG00000043582	6.76E-07	ssa06	69297597
ENSSSAG00000076921	0.0483485	ssa06	69330508
ENSSSAG00000104054	1.59E-06	ssa06	69373556
ENSSSAG00000061721	8.27E-05	ssa06	69727221
ENSSSAG00000093847	4.90E-05	ssa06	70091483
ENSSSAG00000005568	0.017525	ssa06	70368108
ENSSSAG00000039163	0.0248498	ssa06	70916009
ENSSSAG00000003559	0.000169273	ssa06	71153236
ENSSSAG00000108652	7.50E-08	ssa06	71434918
ENSSSAG00000007202	0.0484079	ssa06	71835567
ENSSSAG00000002396	0.00296141	ssa06	72155405
ENSSSAG00000008215	0.0137881	ssa06	72832586
ENSSSAG00000008297	0.0079881	ssa06	72833891
ENSSSAG00000044210	0.0184947	ssa06	72843268
ENSSSAG00000039715	0.0140406	ssa06	73890562
ENSSSAG00000076262	0.00046584	ssa06	74685553
ENSSSAG00000116344	0.00350464	ssa06	75608648
ENSSSAG00000098847	0.00167929	ssa06	75683960
ENSSSAG00000110792	0.00821467	ssa06	75695644
ENSSSAG00000096175	0.00093131	ssa06	75696224
ENSSSAG00000040472	2.01E-06	ssa06	76062868
ENSSSAG00000004652	1.17E-06	ssa06	76212442
ENSSSAG00000076242	0.021374	ssa06	77276912
ENSSSAG00000117770	0.0343592	ssa06	77295662
ENSSSAG00000114915	3.88E-06	ssa06	79048053
ENSSSAG00000092822	0.00150879	ssa06	80498993
ENSSSAG00000076617	0.00636679	ssa06	80677318
ENSSSAG00000043734	2.05E-30	ssa06	80718408
ENSSSAG00000076557	0.00218055	ssa06	81045541
ENSSSAG00000046462	0.00798092	ssa06	81343876
ENSSSAG00000042517	0.00374364	ssa06	81604729
ENSSSAG00000009763	0.000664993	ssa06	82144075
ENSSSAG00000086503	3.70E-05	ssa06	82341570
ENSSSAG00000004656	0.00108024	ssa06	82341570
ENSSSAG00000097739	0.0333624	ssa06	83523177
ENSSSAG00000088327	1.50E-13	ssa06	83625855
ENSSSAG00000043356	0.00970254	ssa06	83824526
ENSSSAG00000121589	8.04E-15	ssa06	84760837
ENSSSAG00000043788	1.13E-06	ssa06	85938667
ENSSSAG00000090373	8.45E-24	ssa06	86494480
ENSSSAG00000042597	0.0425502	ssa06	86523860
ENSSSAG00000009631	0.00746918	ssa06	86672532
ENSSSAG00000090927	0.0183139	ssa06	86680290
ENSSSAG00000095884	0.000398321	ssa06	87329768
ENSSSAG00000044344	6.55E-05	ssa06	89483957
ENSSSAG00000043532	0.00069049	ssa06	89811166
ENSSSAG00000062923	1.06E-10	ssa06	89908926
ENSSSAG00000039901	0.00171576	ssa06	89935902
ENSSSAG00000043627	0.00848879	ssa06	90060787
ENSSSAG00000051433	3.09E-08	ssa06	90301606
ENSSSAG00000050699	0.000355868	ssa06	90301873
ENSSSAG00000106527	0.0422389	ssa06	90301873
ENSSSAG00000053615	0.000291757	ssa06	90683977
ENSSSAG00000051246	0.000955407	ssa06	91025534
ENSSSAG00000051115	0.00110029	ssa06	91132209
ENSSSAG00000052120	0.0144544	ssa06	91170510
ENSSSAG00000109824	0.00262695	ssa06	91782279
ENSSSAG00000101660	7.78E-05	ssa06	91786229
ENSSSAG00000113910	0.0059027	ssa06	92076814
ENSSSAG00000116758	0.0267595	ssa06	92725517
ENSSSAG00000114888	3.72E-08	ssa06	93889220
ENSSSAG00000093825	1.07E-13	ssa06	93979383
ENSSSAG00000100596	0.0034367	ssa06	94001147
ENSSSAG00000002469	4.19E-42	ssa06	95450128
