"ID" "spearman_coeff" "gene1" "gene2" "Common_SNP_0"
"ENSSSAG00000067928_Ssal_ENSSSAG00000081486_Ssal" 0.614560631804387 "ENSSSAG00000067928" "ENSSSAG00000081486" "ssa14_51370830"
"ENSSSAG00000068011_Ssal_ENSSSAG00000121843_Ssal" 0.881262453751565 "ENSSSAG00000121843" "ENSSSAG00000068011" "ssa14_51370830"
"ENSSSAG00000068066_Ssal_ENSSSAG00000116062_Ssal" 0.670731931549109 "ENSSSAG00000068066" "ENSSSAG00000116062" "ssa14_51370830"
"ENSSSAG00000068268_Ssal_ENSSSAG00000113886_Ssal" 0.810376019541077 "ENSSSAG00000068268" "ENSSSAG00000113886" "ssa14_51370830"
"ENSSSAG00000068754_Ssal_ENSSSAG00000075511_Ssal" 0.580981085445337 "ENSSSAG00000068754" "ENSSSAG00000075511" "ssa27_12961482"
"ENSSSAG00000069207_Ssal_ENSSSAG00000079061_Ssal" 0.803281305738701 "ENSSSAG00000079061" "ENSSSAG00000069207" "ssa14_51354372"
"ENSSSAG00000069800_Ssal_ENSSSAG00000078437_Ssal" 0.661540967590868 "ENSSSAG00000069800" "ENSSSAG00000078437" "ssa03_44178347"
"ENSSSAG00000071036_Ssal_ENSSSAG00000089556_Ssal" 0.901400758240972 "ENSSSAG00000089556" "ENSSSAG00000071036" "ssa14_51370830"
"ENSSSAG00000071146_Ssal_ENSSSAG00000078056_Ssal" 0.879335599829555 "ENSSSAG00000078056" "ENSSSAG00000071146" "ssa14_50816222"
"ENSSSAG00000071373_Ssal_ENSSSAG00000074164_Ssal" 0.758405890754839 "ENSSSAG00000074164" "ENSSSAG00000071373" "ssa19_72770585"
"ENSSSAG00000071995_Ssal_ENSSSAG00000088465_Ssal" 0.745560079610421 "ENSSSAG00000071995" "ENSSSAG00000088465" "ssa26_19051314"
"ENSSSAG00000072377_Ssal_ENSSSAG00000117241_Ssal" 0.751519670831072 "ENSSSAG00000072377" "ENSSSAG00000117241" "ssa14_51370830"
"ENSSSAG00000072917_Ssal_ENSSSAG00000079669_Ssal" 0.956471525502399 "ENSSSAG00000072917" "ENSSSAG00000079669" "ssa14_51354372"
"ENSSSAG00000073304_Ssal_ENSSSAG00000073649_Ssal" 0.952087845291766 "ENSSSAG00000073649" "ENSSSAG00000073304" "ssa14_51354372"
"ENSSSAG00000073631_Ssal_ENSSSAG00000077221_Ssal" 0.710784152641852 "ENSSSAG00000073631" "ENSSSAG00000077221" "ssa14_51354372"
"ENSSSAG00000073807_Ssal_ENSSSAG00000112534_Ssal" 0.630475621718911 "ENSSSAG00000112534" "ENSSSAG00000073807" "ssa14_51370830"
"ENSSSAG00000074128_Ssal_ENSSSAG00000113384_Ssal" 0.906312732669209 "ENSSSAG00000113384" "ENSSSAG00000074128" "ssa14_51370830"
"ENSSSAG00000074231_Ssal_ENSSSAG00000088349_Ssal" 0.816419276171571 "ENSSSAG00000074231" "ENSSSAG00000088349" "ssa14_51370830"
"ENSSSAG00000074324_Ssal_ENSSSAG00000074873_Ssal" 0.849606254203189 "ENSSSAG00000074324" "ENSSSAG00000074873" "ssa14_51354372"
"ENSSSAG00000074353_Ssal_ENSSSAG00000074843_Ssal" 0.755175357091755 "ENSSSAG00000074843" "ENSSSAG00000074353" "ssa14_51354372"
"ENSSSAG00000075467_Ssal_ENSSSAG00000075524_Ssal" 0.914799358124139 "ENSSSAG00000075467" "ENSSSAG00000075524" "ssa14_51370830"
"ENSSSAG00000075588_Ssal_ENSSSAG00000076710_Ssal" 0.752626410104039 "ENSSSAG00000075588" "ENSSSAG00000076710" "ssa14_51354372"
"ENSSSAG00000075948_Ssal_ENSSSAG00000084273_Ssal" 0.839585251926271 "ENSSSAG00000075948" "ENSSSAG00000084273" "ssa14_51370830"
"ENSSSAG00000077592_Ssal_ENSSSAG00000084204_Ssal" 0.529156662507302 "ENSSSAG00000077592" "ENSSSAG00000084204" "ssa14_51370830"
"ENSSSAG00000078061_Ssal_ENSSSAG00000078800_Ssal" 0.83115252422516 "ENSSSAG00000078061" "ENSSSAG00000078800" "ssa14_51354372"
"ENSSSAG00000078947_Ssal_ENSSSAG00000081332_Ssal" 0.765888692652132 "ENSSSAG00000078947" "ENSSSAG00000081332" "ssa14_51370830"
"ENSSSAG00000081309_Ssal_ENSSSAG00000081633_Ssal" 0.783697419728909 "ENSSSAG00000081309" "ENSSSAG00000081633" "ssa14_51354372"
"ENSSSAG00000082255_Ssal_ENSSSAG00000084507_Ssal" 0.898709459036161 "ENSSSAG00000082255" "ENSSSAG00000084507" "ssa14_51354372"
"ENSSSAG00000084376_Ssal_ENSSSAG00000109988_Ssal" 0.666663194726965 "ENSSSAG00000084376" "ENSSSAG00000109988" "ssa14_51370830"
"ENSSSAG00000086036_Ssal_ENSSSAG00000106635_Ssal" 0.867686163705776 "ENSSSAG00000086036" "ENSSSAG00000106635" "ssa14_51354372"
"ENSSSAG00000086178_Ssal_ENSSSAG00000087231_Ssal" -0.343972797296502 "ENSSSAG00000086178" "ENSSSAG00000087231" "ssa07_56596682"
"ENSSSAG00000086710_Ssal_ENSSSAG00000119335_Ssal" 0.544111490088614 "ENSSSAG00000086710" "ENSSSAG00000119335" "ssa14_51354372"
"ENSSSAG00000086985_Ssal_ENSSSAG00000098004_Ssal" 0.74327960419242 "ENSSSAG00000098004" "ENSSSAG00000086985" "ssa14_51354372"
"ENSSSAG00000087402_Ssal_ENSSSAG00000090431_Ssal" 0.832038680366548 "ENSSSAG00000090431" "ENSSSAG00000087402" "ssa14_51354372"
"ENSSSAG00000087655_Ssal_ENSSSAG00000087936_Ssal" 0.574756750082102 "ENSSSAG00000087655" "ENSSSAG00000087936" "ssa14_51370830"
"ENSSSAG00000088876_Ssal_ENSSSAG00000106015_Ssal" 0.868524189368305 "ENSSSAG00000088876" "ENSSSAG00000106015" "ssa14_51354372"
"ENSSSAG00000089465_Ssal_ENSSSAG00000105762_Ssal" 0.923840611827312 "ENSSSAG00000105762" "ENSSSAG00000089465" "ssa05_72592562"
"ENSSSAG00000089830_Ssal_ENSSSAG00000100845_Ssal" 0.775453335214259 "ENSSSAG00000089830" "ENSSSAG00000100845" "ssa03_44138210"
"ENSSSAG00000090400_Ssal_ENSSSAG00000115488_Ssal" 0.439662487203054 "ENSSSAG00000090400" "ENSSSAG00000115488" "ssa17_61429648"
"ENSSSAG00000091108_Ssal_ENSSSAG00000118753_Ssal" 0.719283042054408 "ENSSSAG00000118753" "ENSSSAG00000091108" "ssa14_50871630"
"ENSSSAG00000091496_Ssal_ENSSSAG00000114554_Ssal" 0.670732931984096 "ENSSSAG00000091496" "ENSSSAG00000114554" "ssa14_51370830"
"ENSSSAG00000091818_Ssal_ENSSSAG00000107412_Ssal" 0.894704104611291 "ENSSSAG00000091818" "ENSSSAG00000107412" "ssa14_51370830"
"ENSSSAG00000091971_Ssal_ENSSSAG00000099440_Ssal" 0.834647056419733 "ENSSSAG00000091971" "ENSSSAG00000099440" "ssa14_51125625"
"ENSSSAG00000092357_Ssal_ENSSSAG00000109189_Ssal" -0.145144141523401 "ENSSSAG00000092357" "ENSSSAG00000109189" "ssa17_62357348"
"ENSSSAG00000093103_Ssal_ENSSSAG00000109874_Ssal" 0.878696273464386 "ENSSSAG00000093103" "ENSSSAG00000109874" "ssa14_51354372"
"ENSSSAG00000093198_Ssal_ENSSSAG00000108175_Ssal" 0.9031019818012 "ENSSSAG00000108175" "ENSSSAG00000093198" "ssa14_51370830"
"ENSSSAG00000094153_Ssal_ENSSSAG00000098792_Ssal" 0.641102161476097 "ENSSSAG00000094153" "ENSSSAG00000098792" "ssa14_51370830"
"ENSSSAG00000095059_Ssal_ENSSSAG00000107229_Ssal" 0.758711406623241 "ENSSSAG00000107229" "ENSSSAG00000095059" "ssa14_51370830"
"ENSSSAG00000096182_Ssal_ENSSSAG00000097843_Ssal" 0.80015284871644 "ENSSSAG00000096182" "ENSSSAG00000097843" "ssa14_51370830"
"ENSSSAG00000097942_Ssal_ENSSSAG00000120490_Ssal" 0.652215073997698 "ENSSSAG00000120490" "ENSSSAG00000097942" "ssa22_34446567"
"ENSSSAG00000098405_Ssal_ENSSSAG00000106231_Ssal" 0.500758123985925 "ENSSSAG00000098405" "ENSSSAG00000106231" "ssa14_51370830"
"ENSSSAG00000099885_Ssal_ENSSSAG00000109653_Ssal" 0.844750949576181 "ENSSSAG00000099885" "ENSSSAG00000109653" "ssa14_50816222"
"ENSSSAG00000100607_Ssal_ENSSSAG00000122044_Ssal" 0.652590877124481 "ENSSSAG00000100607" "ENSSSAG00000122044" "ssa14_50852463"
"ENSSSAG00000101797_Ssal_ENSSSAG00000113973_Ssal" 0.772614681617415 "ENSSSAG00000113973" "ENSSSAG00000101797" "ssa14_51354372"
"ENSSSAG00000106832_Ssal_ENSSSAG00000118778_Ssal" 0.36267433316146 "ENSSSAG00000106832" "ENSSSAG00000118778" "ssa05_72593703"
"ENSSSAG00000107149_Ssal_ENSSSAG00000119701_Ssal" 0.840293963298639 "ENSSSAG00000119701" "ENSSSAG00000107149" "ssa11_20884587"
"ENSSSAG00000109098_Ssal_ENSSSAG00000119129_Ssal" 0.838699265243833 "ENSSSAG00000109098" "ENSSSAG00000119129" "ssa14_50816381"
"ENSSSAG00000117966_Ssal_ENSSSAG00000121563_Ssal" 0.881151389331902 "ENSSSAG00000117966" "ENSSSAG00000121563" "ssa14_51370830"
